Tree	-lnL
259	6293.06140039
260	6299.31539449
261	6282.89620081
262	6288.77060099
263	6291.17877212
264	6293.58361867
265	6289.21270541
266	6287.91679201
267	6304.30335219
268	6304.59092916
269	6298.76157156
270	6290.71468303
271	6302.19156975
272	6303.35339773
273	6300.12761597
274	6326.70427621
275	6309.00600411
276	6298.42110097
277	6294.40811902
278	6291.68615863
279	6292.25500551
280	6307.46517482
281	6290.14344888
282	6302.45240008
283	6303.81652956
284	6301.71227268
285	6297.41584011
286	6291.50261549
287	6287.00466686
288	6290.42867824
289	6302.28792400
290	6296.38924347
291	6316.14172836
292	6296.25531342
293	6287.77794830
294	6303.59062044
295	6289.43484194
296	6290.38110680
297	6293.03543130
298	6297.39808211
299	6293.86135335
300	6293.71024752
301	6293.97730023
302	6288.97528763
303	6289.96590633
304	6292.17354637
305	6303.39437211
306	6312.90499597
307	6302.54786791
308	6291.31899873
309	6295.63371970
310	6299.00704543
311	6310.50479402
312	6297.07799045
313	6304.44171663
314	6303.53299336
315	6294.95375576
316	6294.23238179
317	6306.36185486
318	6286.03061581
319	6299.32327360
320	6299.78028518
321	6292.87707508
322	6293.10668972
323	6293.28114992
324	6292.13533799
325	6293.81201287
326	6291.46539009
327	6293.62241927
328	6295.12470647
329	6289.37021098
330	6299.19187801
331	6298.28116467
332	6293.58614893
333	6298.46107068
334	6301.69215173
335	6303.40249102
336	6291.47659516
337	6292.42692782
338	6315.33679495
339	6297.80651471
340	6297.78952683
341	6300.70714762
342	6287.81291922
343	6295.80030341
344	6302.34360746
345	6314.07203667
346	6306.39515196
347	6299.10534626
348	6287.84501760
349	6295.80240818
350	6292.06184025
351	6297.86706035
352	6297.98678638
353	6307.97073154
354	6294.48949280
355	6292.25287455
356	6299.61364203
357	6296.28522695
358	6297.26292027
359	6291.52765486
360	6290.50985271
361	6298.71685775
362	6292.45009008
363	6297.70522056
364	6306.53938106
365	6301.73847227
366	6292.64460964
367	6300.50083558
368	6307.35774178
369	6303.63650930
370	6299.86384151
371	6299.08918888
372	6292.49492681
373	6290.18672236
374	6290.32871645
375	6300.81293475
376	6299.31103584
377	6303.20460372
378	6297.15565597
379	6304.51917898
380	6304.35758701
381	6290.02079000
382	6288.39299721
383	6291.23240637
384	6307.42973148
385	6292.86213683
386	6297.77715582
387	6295.23551608
388	6301.43365055
389	6296.75619984
390	6304.51361803
391	6299.45683331
392	6289.16336241
393	6295.52521768
394	6293.07118488
395	6301.75803246
396	6298.92353041
397	6292.77895986
398	6291.86882502
399	6292.51488059
400	6295.70849806
401	6297.04663530
402	6308.15747798
403	6299.87357707
404	6314.09608042
405	6299.29450710
406	6294.34390002
407	6289.88729681
408	6290.26103674
409	6287.74244439
410	6291.99516566
411	6311.34453602
412	6305.29670989
413	6291.72170232
414	6298.13423721
415	6305.08200665
416	6299.94336952
417	6297.50155744
418	6288.02624317
419	6288.87980648
420	6287.66638972
421	6307.04432340
422	6300.62934398
423	6292.24662224
424	6298.75566486
425	6296.31727520
426	6291.03599373
427	6311.17094026
428	6297.35593771
429	6294.65317588
430	6291.10972717
431	6292.91185804
432	6304.09446274
433	6290.32476438
434	6306.21023035
435	6287.61265467
436	6303.19164044
437	6294.52023253
438	6290.56687728
439	6293.04645220
440	6294.70513597
441	6296.42544034
442	6292.34420031
443	6292.59904545
444	6296.31041925
445	6294.39733829
446	6293.71503197
447	6296.52425514
448	6316.47270225
449	6295.61669631
450	6303.02822711
451	6303.06352666
452	6302.20122729
453	6292.27530087
454	6290.10589583
455	6292.15947664
456	6294.84657515
457	6310.29574377
458	6301.09225489
459	6292.49451050
460	6292.50827553
461	6303.44185914
462	6299.44666943
463	6298.33559095
464	6304.08806126
465	6294.88149745
466	6306.52785754
467	6293.34436286
468	6292.89255321
469	6301.22033954
470	6292.10836806
471	6296.84625422
472	6297.92239478
473	6295.03721871
474	6292.75448635
475	6297.91730099
476	6299.18330600
477	6301.70419422
478	6296.10604386
479	6299.69589203
480	6286.94476559
481	6306.57929327
482	6295.67338362
483	6303.70972502
484	6326.88610755
485	6305.65955006
486	6296.76425232
487	6303.89154230
488	6309.58057343
489	6290.92527097
490	6299.75446492
491	6289.36243075
492	6294.63635298
493	6290.83124719
494	6298.90251037
495	6301.61520921
496	6291.49076626
497	6292.24335445
498	6290.13207765
499	6286.85448152
500	6306.87170854
501	6293.61624408
502	6304.26680377
503	6294.80811267
504	6290.98622332
505	6301.52411248
506	6301.86273842
507	6297.08221591
508	6311.84791593
509	6293.27380108
510	6293.35796740
511	6294.82110465
512	6295.80471114
513	6297.23464560
514	6302.48957049
515	6312.45413827
516	6313.36051584
517	6303.56376731
